Name													CRC32		Size
Estpolis Denki 2 (Lufia 2) Prototype [est2p].rsn							82E8BDB9	118939
EEK! The Cat [etc].rsn											722EBD29	162429
Eurit [eurit].rsn											D4AC9D93	133058
E.V.O. - Search for Eden [evo].rsn									15AC385E	194315
Earthworm Jim [ewj].rsn											5DAA7763	213512
Earthworm Jim 2 [ewj2].rsn										F552FC3E	207665
F-1 Grand Prix [f1gp].rsn										0B9C7B25	61620
F-1 Grand Prix Part II [f1gp2].rsn									AFD2F04C	53732
F-1 Grand Prix Part III [f1gp3].rsn									6B34BD89	89831
F1 World Championship Edition [f1wc].rsn								ADE0095E	71515
Gundam F-91 [f91].rsn											D29AD1AA	75703
FIFA Soccer '97 (Super Gameboy) [f97gb].rsn								255C79FC	48513
FIFA Soccer '98 (Super Gameboy) [f98gb].rsn								99081441	51136
Family Dog [famd].rsn											766E477D	59794
Faceball 2000 [fb].rsn											7D689B46	68098
Ren & Stimpy Show - Fire Dogs [fdogs].rsn								206C7743	53253
Fight da Pon! [fdp].rsn											6445307C	98635
Fire Emblem - Mystery of the Emblem [fe3].rsn								8D3AEF42	267558
Fire Emblem - Genealogy of Holy-War [fe4].rsn								6CAC67C6	554919
Tengai Makyo Zero (Far East of Eden Zero) [feoez].rsn							635BCB30	566506
Fire Emblem Thracia 776 [fet].rsn									265FAAE3	328616
Family Feud [feud].rsn											B21B1607	62345
Final Fantasy 4 [ff4].rsn										FA40B322	146264
Final Fantasy V [ff5].rsn										662045DB	206459
Final Fantasy 6 [ff6].rsn										4BF31F34	296465
Final Fight [ffi].rsn											9D7BAFA4	70651
Final Fight 2 [ffi2].rsn										2F621B2D	82033
Final Fight 3 [ffi3].rsn										17FC3B48	125304
Frantic Flea [fflea].rsn										662269EB	116897
Final Fantasy USA - Mystic Quest [ffmq].rsn								4DE71E16	86205
Foreman For Real [ffr].rsn										F0DE9D4E	70469
Fatal Fury [ffu].rsn											34699881	59435
Fatal Fury 2 [ffu2].rsn											DC0C41BC	192248
Fatal Fury Special [ffus].rsn										06F675C1	391124
Future GPX - Cyber Formula [fgpx].rsn									B44D9263	99773
Fighter's History [fh].rsn										5976449F	214341
Fighter's History 2 [fh2].rsn										10E3F3DB	212837
Flying Hero - Bugyuru no Daibouken [fhbd].rsn								ACB59198	181283
Firemen, The [fir].rsn											7DA786E6	74425
Firearm [firea].rsn											8BA326DB	18939
Flintstones [flint].rsn											FF4A63CE	318692
Flashback [fls].rsn											51090840	59333
Front Mission [fm].rsn											7FA53A68	267037
Onita Atsushi FMW [fmw].rsn										F7DE4962	182807
Fun 'N Games [fng].rsn											41057367	166931
Football Fury [footf].rsn										DD32CBFF	114771
Super Fire Pro Wrestling X [fpwx].rsn									F03D79FE	98694
First Queen [fq].rsn											ECD60B64	189239
Frogger [frgr].rsn											515AAD2F	51986
FrogNES [frog].rsn											CA28F92B	76361
First Samurai [frsa].rsn										7CA566DF	59951
Farland Story [fs].rsn											5B077EEA	126953
Farland Story 2 [fs2].rsn										FF0985F1	163366
FIFA Soccer '96 [fs96].rsn										5B49A71E	212747
FIFA 97 - Gold Edition [fs97].rsn									3F6D72C9	65200
Fire Striker [fsr].rsn											9C779954	132776
Finalset Tennis [fst].rsn										3B2C502E	73945
Final Stretch [fstr].rsn										D3EA7A77	68585
Masaki Shimono no Fishing To Bassing [ftb].rsn								80193990	88186
Famicom Tantei Club 2 [ftc2].rsn									0AB69618	458310
Fireteam Rogue [ftm].rsn										130B1DEE	239289
